annotation_id,annotator,created_at,id,lead_time,ner,pos_tags,text,updated_at
12,1,2025-01-23T16:32:16.806037Z,30,73.768,"[{""start"":20,""end"":57,""text"":""Pencil Slate Manufacturing Machinery "",""labels"":[""ORG""]},{""start"":83,""end"":88,""text"":"" देश "",""labels"":[""LOCATION""]}]","[{""start"":111,""end"":133,""text"":""Pencil Slate की Supply"",""labels"":[""PROPN""]},{""start"":134,""end"":145,""text"":""शुरू कर दी।"",""labels"":[""VERB""]},{""start"":57,""end"":62,""text"":""ले ली"",""labels"":[""VERB""]},{""start"":63,""end"":66,""text"":""और "",""labels"":[""CONJ""]},{""start"":88,""end"":90,""text"":""की"",""labels"":[""DET""]},{""start"":66,""end"":83,""text"":""उसके बाद उन्होंने"",""labels"":[""VERB""]},{""start"":92,""end"":98,""text"":""ड़ी-बड़ी"",""labels"":[""ADJ""]},{""start"":99,""end"":110,""text"":""कंपनियों को"",""labels"":[""PROPN""]},{""start"":0,""end"":10,""text"":""समय के साथ"",""labels"":[""ADV""]},{""start"":11,""end"":19,""text"":""उन्होंने"",""labels"":[""PROPN""]}]",समय के साथ उन्होंने Pencil Slate Manufacturing Machinery ले ली और उसके बाद उन्होंने देश की बड़ी-बड़ी कंपनियों को Pencil Slate की Supply शुरू कर दी।,2025-01-23T16:32:16.806078Z
13,1,2025-01-23T16:33:23.121165Z,31,64.119,"[{""start"":30,""end"":52,""text"":""पांडु में ब्रह्मापुत्र"",""labels"":[""LOCATION""]}]","[{""start"":68,""end"":86,""text"":""inland waterway-2 "",""labels"":[""PROPN""]},{""start"":92,""end"":112,""text"":""cargo transportation"",""labels"":[""PROPN""]},{""start"":115,""end"":129,""text"":""रू हो चुका है।"",""labels"":[""VERB""]},{""start"":0,""end"":12,""text"":""इसके साथ-साथ"",""labels"":[""ADV""]},{""start"":13,""end"":26,""text"":""गंगाजी को असम"",""labels"":[""NOUN""]},{""start"":27,""end"":29,""text"":""के"",""labels"":[""DET""]},{""start"":53,""end"":56,""text"":""से "",""labels"":[""DET""]},{""start"":56,""end"":67,""text"":""जोड़ने वाले"",""labels"":[""ADJ""]},{""start"":87,""end"":91,""text"":""र भी"",""labels"":[""CONJ""]}]",इसके साथ-साथ गंगाजी को असम के पांडु में ब्रह्मापुत्र से जोड़ने वाले inland waterway-2 पर भी cargo transportation शुरू हो चुका है।,2025-01-23T16:33:23.121187Z
14,1,2025-01-23T16:34:12.733026Z,32,47.788,"[{""start"":34,""end"":47,""text"":""को सिस्टम में"",""labels"":[""ORG""]}]","[{""start"":48,""end"":74,""text"":""Alternate Investment Funds"",""labels"":[""PROPN""]},{""start"":2,""end"":7,""text"":""इयों "",""labels"":[""NOUN""]},{""start"":0,""end"":15,""text"":""भाइयों और बहनों"",""labels"":[""NOUN""]},{""start"":17,""end"":29,""text"":""स्टार्ट अप्स"",""labels"":[""PROPN""]},{""start"":29,""end"":34,""text"":"" के इ"",""labels"":[""DET""]},{""start"":82,""end"":110,""text"":""किए गए निवेश महत्वपूर्ण हैं।"",""labels"":[""VERB""]},{""start"":75,""end"":82,""text"":""द्वारा "",""labels"":[""DET""]}]","भाइयों और बहनों, स्टार्ट अप्स के इको सिस्टम में Alternate Investment Funds द्वारा किए गए निवेश महत्वपूर्ण हैं।",2025-01-23T16:34:12.733049Z
15,1,2025-01-23T16:35:01.908491Z,33,47.057,"[{""start"":65,""end"":98,""text"":""ह्योगो International Association "",""labels"":[""ORG""]},{""start"":27,""end"":42,""text"":""काईज़ेन Academy "",""labels"":[""ORG""]},{""start"":13,""end"":23,""text"":""ज़ेन गार्डन"",""labels"":[""ORG""]},{""start"":0,""end"":8,""text"":""अहमदाबाद"",""labels"":[""LOCATION""]}]","[{""start"":9,""end"":13,""text"":""में "",""labels"":[""ADP""]},{""start"":110,""end"":124,""text"":""योगदान रहा है।"",""labels"":[""VERB""]},{""start"":98,""end"":110,""text"":""का बहुमूल्य "",""labels"":[""ADV""]},{""start"":42,""end"":56,""text"":""की स्थापना में"",""labels"":[""VERB""]},{""start"":57,""end"":64,""text"":""उनका और"",""labels"":[""ADJ""]},{""start"":23,""end"":26,""text"":"" और"",""labels"":[""CONJ""]}]",अहमदाबाद में ज़ेन गार्डन और काईज़ेन Academy की स्थापना में उनका और ह्योगो International Association का बहुमूल्य योगदान रहा है।,2025-01-23T16:35:01.908516Z
16,1,2025-01-23T16:35:32.310456Z,34,29.01,"[{""start"":3,""end"":49,""text"":"" Indo-Japan Friendship Association of Gujarat "",""labels"":[""ORG""]}]","[{""start"":0,""end"":3,""text"":""मैं"",""labels"":[""PROPN""]},{""start"":52,""end"":60,""text"":""साथियों "",""labels"":[""ADJ""]},{""start"":49,""end"":51,""text"":""के"",""labels"":[""DET""]},{""start"":60,""end"":66,""text"":""को भी "",""labels"":[""DET""]},{""start"":66,""end"":80,""text"":""बधाई देता हूं।"",""labels"":[""VERB""]}]",मैं Indo-Japan Friendship Association of Gujarat के साथियों को भी बधाई देता हूं।,2025-01-23T16:35:32.310480Z
17,1,2025-01-23T16:36:24.487019Z,35,50.313,"[{""start"":15,""end"":35,""text"":""काईज़ेन Academy जापान"",""labels"":[""ORG""]},{""start"":81,""end"":94,""text"":""जापान और भारत"",""labels"":[""LOCATION""]},{""start"":53,""end"":58,""text"":""भारत "",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":3,""text"":""मैं"",""labels"":[""PROPN""]},{""start"":3,""end"":14,""text"":"" चाहूँगा कि"",""labels"":[""ADJ""]},{""start"":102,""end"":122,""text"":""business interaction"",""labels"":[""NOUN""]},{""start"":94,""end"":101,""text"":"" के बीच"",""labels"":[""ADJ""]},{""start"":124,""end"":129,""text"":""बढाए।"",""labels"":[""VERB""]},{""start"":58,""end"":81,""text"":""में प्रचार-प्रसार करे, "",""labels"":[""VERB""]},{""start"":36,""end"":53,""text"":""के वर्क-कल्चर का "",""labels"":[""ADJ""]}]","मैं चाहूँगा कि काईज़ेन Academy जापान के वर्क-कल्चर का भारत में प्रचार-प्रसार करे, जापान और भारत के बीच business interactions बढाए।",2025-01-23T16:36:24.487064Z
18,1,2025-01-23T16:37:23.216039Z,36,56.541,"[{""start"":68,""end"":104,""text"":""Indo-Japan Student Exchange Program "",""labels"":[""ORG""]},{""start"":5,""end"":23,""text"":""गुजरात यूनिवर्सिटी"",""labels"":[""ORG""]},{""start"":36,""end"":60,""text"":""ओतेमोन गाकुइन University"",""labels"":[""ORG""]},{""start"":27,""end"":32,""text"":""ओसाका"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":5,""text"":""जैसे "",""labels"":[""ADJ""]},{""start"":24,""end"":27,""text"":""और "",""labels"":[""CONJ""]},{""start"":32,""end"":35,""text"":"" के"",""labels"":[""CONJ""]},{""start"":61,""end"":64,""text"":""के "",""labels"":[""CONJ""]},{""start"":64,""end"":67,""text"":""बीच"",""labels"":[""ADJ""]},{""start"":103,""end"":106,""text"":"" है"",""labels"":[""VERB""]}]",जैसे गुजरात यूनिवर्सिटी और ओसाका के ओतेमोन गाकुइन University के बीच Indo-Japan Student Exchange Program है।,2025-01-23T16:37:23.216062Z
19,1,2025-01-23T16:38:36.553699Z,37,62.458,"[{""start"":64,""end"":95,""text"":""digital payment infrastructure "",""labels"":[""ORG""]},{""start"":99,""end"":103,""text"":""भारत"",""labels"":[""LOCATION""]},{""start"":117,""end"":129,""text"":""अर्जेंटीनाके"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":11,""text"":""ICT क्षेत्र"",""labels"":[""PROPN""]},{""start"":29,""end"":59,""text"":""Jandhan-Aadhaar-Mobile trinity"",""labels"":[""PROPN""]},{""start"":20,""end"":23,""text"":""JAM"",""labels"":[""PROPN""]},{""start"":12,""end"":19,""text"":""विशेषकर"",""labels"":[""ADJ""]},{""start"":60,""end"":63,""text"":""तथा"",""labels"":[""CONJ""]},{""start"":95,""end"":99,""text"":""में "",""labels"":[""CONJ""]},{""start"":24,""end"":29,""text"":""यानि "",""labels"":[""CONJ""]},{""start"":104,""end"":113,""text"":""की सफलता,"",""labels"":[""ADV""]},{""start"":115,""end"":117,""text"":""म "",""labels"":[""PROPN""]},{""start"":129,""end"":133,""text"":"" साथ"",""labels"":[""ADJ""]},{""start"":133,""end"":161,""text"":"" साझा करने के लिए तैयार हैं।"",""labels"":[""VERB""]}]","ICT क्षेत्र,विशेषकर JAM यानि Jandhan-Aadhaar-Mobile trinity तथा digital payment infrastructure में भारत की सफलता, हम अर्जेंटीनाके साथ साझा करने के लिए तैयार हैं।",2025-01-23T16:38:36.553723Z
20,1,2025-01-23T16:39:33.648400Z,38,55.6,"[{""start"":14,""end"":47,""text"":""Missile Technology Control Regime"",""labels"":[""ORG""]},{""start"":49,""end"":70,""text"":""Wassenaar Arrangement"",""labels"":[""ORG""]},{""start"":74,""end"":89,""text"":""Australia Group"",""labels"":[""ORG""]},{""start"":92,""end"":114,""text"":""Nuclear Suppliers Grou"",""labels"":[""ORG""]},{""start"":119,""end"":124,""text"":"" भारत"",""labels"":[""LOCATION""]},{""start"":0,""end"":10,""text"":""अर्जेंटीना"",""labels"":[""LOCATION""]}]","[{""start"":10,""end"":14,""text"":"" ने "",""labels"":[""DET""]},{""start"":125,""end"":129,""text"":""की स"",""labels"":[""DET""]},{""start"":71,""end"":73,""text"":""और"",""labels"":[""CONJ""]},{""start"":90,""end"":91,""text"":""व"",""labels"":[""CONJ""]},{""start"":116,""end"":119,""text"":""में"",""labels"":[""CONJ""]},{""start"":129,""end"":136,""text"":""दस्यता "",""labels"":[""NOUN""]},{""start"":136,""end"":161,""text"":""का पुरजोर समर्थन किया है।"",""labels"":[""VERB""]}]","अर्जेंटीना ने Missile Technology Control Regime, Wassenaar Arrangement और Australia Group व Nuclear Suppliers Group में भारत की सदस्यता का पुरजोर समर्थन किया है।",2025-01-23T16:39:33.648422Z
21,1,2025-01-23T16:40:10.473188Z,39,34.195,"[{""start"":0,""end"":34,""text"":""International Solar Alliance (ISA)"",""labels"":[""ORG""]},{""start"":59,""end"":68,""text"":""अर्जंटीना"",""labels"":[""LOCATION""]}]","[{""start"":93,""end"":118,""text"":""बहुत प्रसन्नता हो रही है।"",""labels"":[""VERB""]},{""start"":88,""end"":92,""text"":""मुझे"",""labels"":[""PROPN""]},{""start"":69,""end"":71,""text"":""का"",""labels"":[""ADV""]},{""start"":72,""end"":87,""text"":""स्वागत करते हुए"",""labels"":[""VERB""]},{""start"":35,""end"":58,""text"":""में नए सदस्य के रूप में"",""labels"":[""ADJ""]}]",International Solar Alliance (ISA) में नए सदस्य के रूप में अर्जंटीना का स्वागत करते हुए मुझे बहुत प्रसन्नता हो रही है।,2025-01-23T16:40:10.473210Z
